Country,Country_Code,Time_Stamp,Cases
"Korea, Republic of",KOR,1/27/20 19:00,4.0
Spain,ESP,1/27/20 19:00,0.0
Sri Lanka,LKA,1/27/20 19:00,1.0
Sweden,SWE,1/27/20 19:00,0.0
"Taiwan, Province of China",TWN,1/27/20 19:00,5.0
Thailand,THA,1/27/20 19:00,8.0
United Kingdom,GBR,1/27/20 19:00,0.0
United States,USA,1/27/20 19:00,5.0
United Arab Emirates,ARE,1/27/20 19:00,0.0
Viet Nam,VNM,1/27/20 19:00,2.0
Australia,AUS,1/27/20 20:30,5.0
Belgium,BEL,1/27/20 20:30,0.0
Cambodia,KHM,1/27/20 20:30,1.0
Canada,CAN,1/27/20 20:30,1.0
Finland,FIN,1/27/20 20:30,0.0
France,FRA,1/27/20 20:30,3.0
Germany,DEU,1/27/20 20:30,1.0
Hong Kong,HKG,1/27/20 20:30,8.0
India,IND,1/27/20 20:30,0.0
Italy,ITA,1/27/20 20:30,0.0
Japan,JPN,1/27/20 20:30,4.0
Macao,MAC,1/27/20 20:30,6.0
Malaysia,MYS,1/27/20 20:30,4.0
Nepal,NPL,1/27/20 20:30,1.0
Philippines,PHL,1/27/20 20:30,0.0
Russian Federation,RUS,1/27/20 20:30,0.0
Singapore,SGP,1/27/20 20:30,5.0
"Korea, Republic of",KOR,1/27/20 20:30,4.0
Spain,ESP,1/27/20 20:30,0.0
Sri Lanka,LKA,1/27/20 20:30,1.0
Sweden,SWE,1/27/20 20:30,0.0
"Taiwan, Province of China",TWN,1/27/20 20:30,5.0
Thailand,THA,1/27/20 20:30,8.0
United Kingdom,GBR,1/27/20 20:30,0.0
United States,USA,1/27/20 20:30,5.0
United Arab Emirates,ARE,1/27/20 20:30,0.0
Viet Nam,VNM,1/27/20 20:30,2.0
Australia,AUS,1/28/20 13:00,5.0
Belgium,BEL,1/28/20 13:00,0.0
Cambodia,KHM,1/28/20 13:00,1.0
Canada,CAN,1/28/20 13:00,2.0
Finland,FIN,1/28/20 13:00,0.0
France,FRA,1/28/20 13:00,3.0
Germany,DEU,1/28/20 13:00,1.0
Hong Kong,HKG,1/28/20 13:00,8.0
India,IND,1/28/20 13:00,0.0
Italy,ITA,1/28/20 13:00,0.0
Japan,JPN,1/28/20 13:00,7.0
Macao,MAC,1/28/20 13:00,7.0
Malaysia,MYS,1/28/20 13:00,4.0
Nepal,NPL,1/28/20 13:00,1.0
Philippines,PHL,1/28/20 13:00,0.0
Russian Federation,RUS,1/28/20 13:00,0.0
Singapore,SGP,1/28/20 13:00,7.0
"Korea, Republic of",KOR,1/28/20 13:00,4.0
Spain,ESP,1/28/20 13:00,0.0
Sri Lanka,LKA,1/28/20 13:00,1.0
Sweden,SWE,1/28/20 13:00,0.0
"Taiwan, Province of China",TWN,1/28/20 13:00,8.0
Thailand,THA,1/28/20 13:00,14.0
United Kingdom,GBR,1/28/20 13:00,0.0
United States,USA,1/28/20 13:00,5.0
United Arab Emirates,ARE,1/28/20 13:00,0.0
Viet Nam,VNM,1/28/20 13:00,2.0
Australia,AUS,1/28/20 18:00,5.0
Belgium,BEL,1/28/20 18:00,0.0
Cambodia,KHM,1/28/20 18:00,1.0
Canada,CAN,1/28/20 18:00,2.0
Finland,FIN,1/28/20 18:00,0.0
France,FRA,1/28/20 18:00,4.0
Germany,DEU,1/28/20 18:00,4.0
Hong Kong,HKG,1/28/20 18:00,8.0
India,IND,1/28/20 18:00,0.0
Italy,ITA,1/28/20 18:00,0.0
Japan,JPN,1/28/20 18:00,7.0
Macao,MAC,1/28/20 18:00,7.0
Malaysia,MYS,1/28/20 18:00,4.0
Nepal,NPL,1/28/20 18:00,1.0
Philippines,PHL,1/28/20 18:00,0.0
Russian Federation,RUS,1/28/20 18:00,0.0
Singapore,SGP,1/28/20 18:00,7.0
"Korea, Republic of",KOR,1/28/20 18:00,4.0
Spain,ESP,1/28/20 18:00,0.0
Sri Lanka,LKA,1/28/20 18:00,1.0
Sweden,SWE,1/28/20 18:00,0.0
"Taiwan, Province of China",TWN,1/28/20 18:00,8.0
Thailand,THA,1/28/20 18:00,14.0
United Kingdom,GBR,1/28/20 18:00,0.0
United States,USA,1/28/20 18:00,5.0
United Arab Emirates,ARE,1/28/20 18:00,0.0
Viet Nam,VNM,1/28/20 18:00,2.0
Australia,AUS,1/28/20 23:00,5.0
Belgium,BEL,1/28/20 23:00,0.0
Cambodia,KHM,1/28/20 23:00,1.0
Canada,CAN,1/28/20 23:00,2.0
Finland,FIN,1/28/20 23:00,0.0
France,FRA,1/28/20 23:00,4.0
Germany,DEU,1/28/20 23:00,4.0
Hong Kong,HKG,1/28/20 23:00,8.0
India,IND,1/28/20 23:00,0.0
Italy,ITA,1/28/20 23:00,0.0
Japan,JPN,1/28/20 23:00,7.0
Macao,MAC,1/28/20 23:00,7.0
Malaysia,MYS,1/28/20 23:00,7.0
Nepal,NPL,1/28/20 23:00,1.0
Philippines,PHL,1/28/20 23:00,0.0
Russian Federation,RUS,1/28/20 23:00,0.0
Singapore,SGP,1/28/20 23:00,7.0
"Korea, Republic of",KOR,1/28/20 23:00,4.0
Spain,ESP,1/28/20 23:00,0.0
Sri Lanka,LKA,1/28/20 23:00,1.0
Sweden,SWE,1/28/20 23:00,0.0
"Taiwan, Province of China",TWN,1/28/20 23:00,8.0
Thailand,THA,1/28/20 23:00,14.0
United Kingdom,GBR,1/28/20 23:00,0.0
United States,USA,1/28/20 23:00,5.0
United Arab Emirates,ARE,1/28/20 23:00,0.0
Viet Nam,VNM,1/28/20 23:00,2.0
Australia,AUS,1/29/20 13:30,5.0
Belgium,BEL,1/29/20 13:30,0.0
Cambodia,KHM,1/29/20 13:30,1.0
Canada,CAN,1/29/20 13:30,2.0
Finland,FIN,1/29/20 13:30,1.0
France,FRA,1/29/20 13:30,4.0
Germany,DEU,1/29/20 13:30,4.0
Hong Kong,HKG,1/29/20 13:30,10.0
India,IND,1/29/20 13:30,1.0
Italy,ITA,1/29/20 13:30,0.0
Japan,JPN,1/29/20 13:30,7.0
Macao,MAC,1/29/20 13:30,7.0
Malaysia,MYS,1/29/20 13:30,7.0
Nepal,NPL,1/29/20 13:30,1.0
Philippines,PHL,1/29/20 13:30,0.0
Russian Federation,RUS,1/29/20 13:30,0.0
Singapore,SGP,1/29/20 13:30,7.0
"Korea, Republic of",KOR,1/29/20 13:30,4.0
Spain,ESP,1/29/20 13:30,0.0
Sri Lanka,LKA,1/29/20 13:30,1.0
Sweden,SWE,1/29/20 13:30,0.0
"Taiwan, Province of China",TWN,1/29/20 13:30,8.0
Thailand,THA,1/29/20 13:30,14.0
United Kingdom,GBR,1/29/20 13:30,0.0
United States,USA,1/29/20 13:30,5.0
United Arab Emirates,ARE,1/29/20 13:30,4.0
Viet Nam,VNM,1/29/20 13:30,2.0
Australia,AUS,1/29/20 14:30,5.0
Belgium,BEL,1/29/20 14:30,0.0
Cambodia,KHM,1/29/20 14:30,1.0
Canada,CAN,1/29/20 14:30,2.0
Finland,FIN,1/29/20 14:30,1.0
France,FRA,1/29/20 14:30,5.0
Germany,DEU,1/29/20 14:30,4.0
Hong Kong,HKG,1/29/20 14:30,10.0
India,IND,1/29/20 14:30,0.0
Italy,ITA,1/29/20 14:30,0.0
Japan,JPN,1/29/20 14:30,7.0
Macao,MAC,1/29/20 14:30,7.0
Malaysia,MYS,1/29/20 14:30,7.0
Nepal,NPL,1/29/20 14:30,1.0
Philippines,PHL,1/29/20 14:30,0.0
Russian Federation,RUS,1/29/20 14:30,0.0
Singapore,SGP,1/29/20 14:30,7.0
"Korea, Republic of",KOR,1/29/20 14:30,4.0
Spain,ESP,1/29/20 14:30,0.0
Sri Lanka,LKA,1/29/20 14:30,1.0
Sweden,SWE,1/29/20 14:30,0.0
"Taiwan, Province of China",TWN,1/29/20 14:30,8.0
Thailand,THA,1/29/20 14:30,14.0
United Kingdom,GBR,1/29/20 14:30,0.0
United States,USA,1/29/20 14:30,5.0
United Arab Emirates,ARE,1/29/20 14:30,4.0
Viet Nam,VNM,1/29/20 14:30,2.0
Australia,AUS,1/29/20 21:00,7.0
Belgium,BEL,1/29/20 21:00,0.0
Cambodia,KHM,1/29/20 21:00,1.0
Canada,CAN,1/29/20 21:00,2.0
Finland,FIN,1/29/20 21:00,1.0
France,FRA,1/29/20 21:00,5.0
Germany,DEU,1/29/20 21:00,4.0
Hong Kong,HKG,1/29/20 21:00,10.0
India,IND,1/29/20 21:00,0.0
Italy,ITA,1/29/20 21:00,0.0
Japan,JPN,1/29/20 21:00,11.0
Macao,MAC,1/29/20 21:00,7.0
Malaysia,MYS,1/29/20 21:00,7.0
Nepal,NPL,1/29/20 21:00,1.0
Philippines,PHL,1/29/20 21:00,0.0
Russian Federation,RUS,1/29/20 21:00,0.0
Singapore,SGP,1/29/20 21:00,10.0
"Korea, Republic of",KOR,1/29/20 21:00,4.0
Spain,ESP,1/29/20 21:00,0.0
Sri Lanka,LKA,1/29/20 21:00,1.0
Sweden,SWE,1/29/20 21:00,0.0
"Taiwan, Province of China",TWN,1/29/20 21:00,8.0
Thailand,THA,1/29/20 21:00,14.0
United Kingdom,GBR,1/29/20 21:00,0.0
United States,USA,1/29/20 21:00,5.0
United Arab Emirates,ARE,1/29/20 21:00,4.0
Viet Nam,VNM,1/29/20 21:00,2.0
